date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:59	15809/15809	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:20:59%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index52bb.html	(from )
16:20:59	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2012%20Oct%202024%2020:21:00%20GMT	https://svr4.uatf.edu.bo/robots.txt		(from )
16:20:59	117305/117305	---M--	200	added ('OK')	text/css	etag:%221ca39-53a49357d9700%22	https://svr4.uatf.edu.bo/docente_v_2/css/bootstrap.min.css	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/css/bootstrap.min.css	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:00	9662/9662	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2225be-53a4936256fc0%22	https://svr4.uatf.edu.bo/docente_v_2/imgs/uatf.ico	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/imgs/uatf.ico	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:00	9521/9521	---M--	200	added ('OK')	image/jpeg	etag:%222531-53a4936256fc0%22	https://svr4.uatf.edu.bo/docente_v_2/imgs/utf.jpg	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/imgs/utf.jpg	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:01	7764/7764	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:01%20GMT	https://svr4.uatf.edu.bo/docente_v_2/rclave4.php	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/rclave4.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:01	15803/15803	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:02%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89NnVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index8e9a.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:01	15818/15818	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:02%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89NXVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index5bfd.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:02	15809/15809	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:02%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MXVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index8cf3.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
16:21:02	15818/15818	---MC-	200	added ('OK')	text/html	date:Sat,%2012%20Oct%202024%2020:21:03%20GMT	https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89NHVUaTIwMTNfVUFURg==	D:/docentes/docentes/svr4.uatf.edu.bo/docente_v_2/index5c36.html	(from https://svr4.uatf.edu.bo/docente_v_2/index.php?dVRpMjAxM19VQVRGaWRfZ2VzdGlvbj0yMDI0JmlkX3BlcmlvZG89MnVUaTIwMTNfVUFURg==)
